City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Manokwari,ID,2021-06-03 21:44:05,-0.8667,134.0833,76.66,86,100,5.68
146,Aykhal,RU,2021-06-03 21:44:05,66.0,111.5,52.83,58,100,5.73
147,Mar Del Plata,AR,2021-06-03 21:44:06,-38.0023,-57.5575,57.09,52,0,4.0
148,Kinross,AU,2021-06-03 21:44:06,-31.7187,115.7384,49.8,98,0,9.06
149,Russell,US,2021-06-03 21:44:06,32.3502,-85.1999,87.08,54,1,5.75
150,Dhidhdhoo,MV,2021-06-03 21:42:03,6.8833,73.1,82.4,80,87,16.33
151,Saint Anthony,US,2021-06-03 21:44:07,45.0205,-93.218,91.72,30,1,1.01
152,Yarim,YE,2021-06-03 21:44:07,14.298,44.3779,61.52,36,83,2.64
153,Leningradskiy,RU,2021-06-03 21:44:07,69.3833,178.4167,31.28,80,72,7.27
154,Pisco,PE,2021-06-03 21:44:08,-13.7,-76.2167,66.25,77,20,11.5
155,Torbay,CA,2021-06-03 21:44:08,47.6666,-52.7314,74.17,40,75,18.41
156,Port Lincoln,AU,2021-06-03 21:44:08,-34.7333,135.8667,57.0,79,34,9.37
157,Grindavik,IS,2021-06-03 21:44:09,63.8424,-22.4338,51.75,81,75,33.49
158,Port Augusta,AU,2021-06-03 21:44:09,-32.5,137.7667,53.71,91,9,3.38
159,Buala,SB,2021-06-03 21:44:09,-8.145,159.5921,81.91,79,100,5.12
160,Avera,US,2021-06-03 21:44:09,33.194,-82.5271,87.53,60,100,9.19
161,Andrews,US,2021-06-03 21:44:10,32.3187,-102.5457,80.08,40,40,5.75
162,Nantai,CN,2021-06-03 21:44:10,40.9241,122.8044,58.69,65,6,6.46
163,Walvis Bay,NA,2021-06-03 21:44:10,-22.9575,14.5053,67.15,15,0,10.4
164,Maldonado,UY,2021-06-03 21:44:11,-34.6667,-54.9167,57.22,75,79,6.85
165,Chazuta,PE,2021-06-03 21:44:11,-6.5742,-76.1367,90.45,95,93,1.61
166,Adre,TD,2021-06-03 21:44:11,13.4667,22.2,81.95,40,100,2.28
167,Wattegama,LK,2021-06-03 21:44:11,6.7989,81.4808,77.92,94,97,3.31
168,Aasiaat,GL,2021-06-03 21:41:30,68.7098,-52.8699,33.53,96,100,10.31
169,Qandala,SO,2021-06-03 21:44:12,11.472,49.8728,88.27,60,54,4.43
170,Port-Gentil,GA,2021-06-03 21:43:54,-0.7193,8.7815,78.76,89,40,10.36
171,Jalu,LY,2021-06-03 21:44:12,29.0331,21.5482,84.81,23,7,10.07
172,Olinda,BR,2021-06-03 21:44:13,-8.0089,-34.8553,76.73,78,20,9.08
173,Sangar,RU,2021-06-03 21:44:13,63.9242,127.4739,61.0,69,32,7.38
174,Mahebourg,MU,2021-06-03 21:44:13,-20.4081,57.7,74.25,78,40,12.66
175,Pokosnoye,RU,2021-06-03 21:44:14,55.5258,101.0536,57.06,55,42,5.77
176,Nishihara,JP,2021-06-03 21:44:14,26.1842,127.7558,82.06,94,75,13.06
177,Labuhan,ID,2021-06-03 21:44:14,-6.8844,112.2051,76.84,85,78,7.31
178,Emerald,AU,2021-06-03 21:44:14,-23.5333,148.1667,60.94,88,40,3.44
179,Tiksi,RU,2021-06-03 21:43:46,71.6872,128.8694,32.13,93,100,4.97
180,Santa Cruz Cabralia,BR,2021-06-03 21:44:15,-16.2781,-39.0247,77.23,78,40,7.67
181,Grand Gaube,MU,2021-06-03 21:44:15,-20.0064,57.6608,74.37,74,25,7.0
182,Sorong,ID,2021-06-03 21:44:15,-0.8833,131.25,78.15,87,100,7.49
183,Klyuchi,RU,2021-06-03 21:44:16,52.2667,79.1667,59.32,66,97,6.35
184,Tura,IN,2021-06-03 21:44:16,25.5198,90.2201,73.87,93,1,4.97
185,Airai,TL,2021-06-03 21:44:16,-8.9266,125.4092,57.56,90,44,3.15
186,Ilhabela,BR,2021-06-03 21:44:17,-23.7781,-45.3581,70.27,90,16,4.36
187,Lhokseumawe,ID,2021-06-03 21:44:17,5.1801,97.1507,78.33,87,70,3.33
188,Iquitos,PE,2021-06-03 21:44:17,-3.7481,-73.2472,82.44,78,75,4.61
189,Acari,PE,2021-06-03 21:44:18,-15.4311,-74.6158,71.53,61,98,4.47
190,Vestmannaeyjar,IS,2021-06-03 21:44:18,63.4427,-20.2734,48.67,82,100,25.43
191,Virginia Beach,US,2021-06-03 21:39:42,36.8529,-75.978,73.47,94,100,1.01
192,Nizwa,OM,2021-06-03 21:44:18,22.9333,57.5333,90.86,22,0,4.16
193,Smidovich,RU,2021-06-03 21:44:19,48.6,133.8167,52.9,98,100,4.83
194,Steinbach,DE,2021-06-03 21:44:19,50.1667,8.5667,68.65,85,0,4.29
195,Eureka,US,2021-06-03 21:44:19,40.8021,-124.1637,65.19,80,47,5.99
196,Lakhipur,IN,2021-06-03 21:44:19,26.0299,90.3041,76.93,88,13,2.89
197,Ugoofaaru,MV,2021-06-03 21:44:20,5.6667,73.0,82.38,78,100,14.99
198,Tulagi,SB,2021-06-03 21:44:20,-9.0996,160.1476,82.04,76,100,10.29
199,Lubango,AO,2021-06-03 21:44:20,-14.9172,13.4925,56.43,39,0,4.79
200,Morant Bay,JM,2021-06-03 21:44:21,17.8815,-76.4093,84.65,74,75,10.13
201,Florence,IT,2021-06-03 21:44:21,43.7667,11.25,66.36,62,7,4.61
202,San Vicente,AR,2021-06-03 21:44:21,-26.6167,-54.1333,66.47,77,20,1.95
203,Sanming,CN,2021-06-03 21:44:21,26.2486,117.6186,76.24,99,100,2.15
204,Uyuni,BO,2021-06-03 21:44:22,-20.4597,-66.825,45.1,23,55,1.05
205,Muros,ES,2021-06-03 21:44:22,42.7762,-9.0603,54.09,76,21,7.23
206,Roald,NO,2021-06-03 21:44:22,62.5833,6.1333,62.91,72,0,8.05
207,Pangnirtung,CA,2021-06-03 21:44:23,66.1451,-65.7125,37.4,70,90,8.05
208,Ushtobe,KZ,2021-06-03 21:44:23,45.2514,77.9838,72.59,44,46,8.75
209,Plock,PL,2021-06-03 21:44:23,52.5468,19.7064,55.36,73,87,5.37
210,Solnechnyy,RU,2021-06-03 21:44:24,50.7214,136.6319,52.52,99,100,5.55
211,Rabaul,PG,2021-06-03 21:44:17,-4.1967,152.1721,80.53,77,90,3.22
212,Lompoc,US,2021-06-03 21:43:39,34.6391,-120.4579,84.34,68,40,5.01
