City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Norman Wells,CA,65.282,-126.8329,48.24,71,75,11.5,light rain
119,Wum,CM,6.3833,10.0667,66.79,94,96,1.28,light rain
120,Henties Bay,NA,-22.116,14.2845,70.68,43,0,9.57,clear sky
121,Chuy,UY,-33.6971,-53.4616,63.12,97,100,9.64,moderate rain
122,Albion,US,42.2431,-84.753,86.7,40,1,15.66,clear sky
123,Asau,RO,46.4333,26.4,63.52,82,86,2.57,overcast clouds
124,Dakar,SN,14.6937,-17.4441,86.88,80,19,9.24,few clouds
125,Pimentel,PE,-6.8367,-79.9342,71.89,81,90,5.01,overcast clouds
126,Cockburn Town,TC,21.4612,-71.1419,85.96,62,40,16.11,scattered clouds
127,Mount Kisco,US,41.2043,-73.7271,91.81,49,1,1.01,clear sky
128,Toktogul,KG,41.8708,72.9402,67.53,66,53,2.73,broken clouds
129,Lebu,CL,-37.6167,-73.65,52.92,68,87,10.76,overcast clouds
130,Touros,BR,-5.1989,-35.4608,86.9,63,13,16.89,few clouds
131,Russell,US,32.3502,-85.1999,88.92,61,40,4.32,scattered clouds
132,Merritt Island,US,28.5392,-80.672,91.49,71,75,8.05,broken clouds
133,Port Moresby,PG,-9.4431,147.1797,74.62,94,75,11.5,broken clouds
134,Salalah,OM,17.0151,54.0924,82.49,89,20,3.44,few clouds
135,Pueblo Nuevo,MX,23.3833,-105.3833,76.86,32,1,7.78,clear sky
136,Cabo San Lucas,MX,22.8909,-109.9124,100.51,37,1,9.22,clear sky
137,Big Spring,US,32.2504,-101.4787,82.27,59,1,5.01,clear sky
138,Necochea,AR,-38.5473,-58.7368,61.03,43,50,15.3,scattered clouds
139,Barrow,US,71.2906,-156.7887,30.22,93,90,6.91,mist
140,Sanming,CN,26.2486,117.6186,70.2,95,48,0.6,scattered clouds
141,Hithadhoo,MV,-0.6,73.0833,82.85,75,100,12.37,overcast clouds
142,Puerto Escondido,MX,15.85,-97.0667,88.63,66,40,0.0,scattered clouds
143,Constitucion,CL,-35.3333,-72.4167,57.47,54,74,11.03,broken clouds
